1  core   0: >>>>  
281  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
282  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
283  core   0: >>>>  __crt0_bss_clear
283  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
284  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
285  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
286  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
287  core   0: >>>>  __crt0_bss_clear
287  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
288  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
289  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
290  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
291  core   0: >>>>  __crt0_bss_clear
291  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
292  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
293  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
294  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
295  core   0: >>>>  __crt0_bss_clear
295  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
296  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
297  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
298  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
299  core   0: >>>>  __crt0_bss_clear
299  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
300  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
301  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
302  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
303  core   0: >>>>  __crt0_bss_clear
303  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
304  core   0: >>>>  __crt0_bss_clear_end
304  core   0: 0x0000010c (0x00001417) auipc   s0, 0x1
305  core   0: 0x00000110 (0xac440413) addi    s0, s0, -1340
306  core   0: 0x00000114 (0x00001497) auipc   s1, 0x1
307  core   0: 0x00000118 (0xabc48493) addi    s1, s1, -1348
308  core   0: >>>>  __crt0_constructors
308  core   0: 0x0000011c (0x00945a63) bge     s0, s1, pc + 20
309  core   0: >>>>  __crt0_constructors_end
309  core   0: 0x00000130 (0x00000617) auipc   a2, 0x0
310  core   0: 0x00000134 (0x11060613) addi    a2, a2, 272
311  core   0: >>>>  __crt0_main_entry
311  core   0: 0x00000138 (0x80000197) auipc   gp, 0x80000
312  core   0: 0x0000013c (0x6c818193) addi    gp, gp, 1736
313  core   0: 0x00000140 (0x0ff0000f) fence   iorw,iorw
314  core   0: 0x00000144 (0x0000100f) fence.i
315  core   0: 0x00000148 (0x30029073) csrw    mstatus, t0
316  core   0: 0x0000014c (0x00000513) li      a0, 0
317  core   0: 0x00000150 (0x00000593) li      a1, 0
318  core   0: 0x00000154 (0x000600e7) jalr    a2
319  core   0: >>>>  main
319  core   0: 0x00000240 (0xff010113) addi    sp, sp, -16
320  core   0: 0x00000244 (0x00112623) sw      ra, 12(sp)
321  core   0: 0x00000248 (0x00812423) sw      s0, 8(sp)
322  core   0: 0x0000024c (0x5b0000ef) jal     pc + 0x5b0
323  core   0: >>>>  neorv32_rte_setup
323  core   0: 0x000007fc (0x000027b7) lui     a5, 0x2
324  core   0: 0x00000800 (0x80078793) addi    a5, a5, -2048
325  core   0: 0x00000804 (0x30079073) csrw    mstatus, a5
326  core   0: 0x00000808 (0x38c00793) li      a5, 908
327  core   0: 0x0000080c (0xffc7f793) andi    a5, a5, -4
328  core   0: 0x00000810 (0x30579073) csrw    mtvec, a5
329  core   0: 0x00000814 (0x00000793) li      a5, 0
330  core   0: 0x00000818 (0x30479073) csrw    mie, a5
331  core   0: 0x0000081c (0xf14027f3) csrr    a5, mhartid
332  core   0: 0x00000820 (0x02079c63) bnez    a5, pc + 56
333  core   0: 0x00000824 (0x80000537) lui     a0, 0x80000
334  core   0: 0x00000828 (0x02000593) li      a1, 32
335  core   0: 0x0000082c (0x00050713) mv      a4, a0
336  core   0: 0x00000830 (0x00279693) slli    a3, a5, 2
337  core   0: 0x00000834 (0x00d706b3) add     a3, a4, a3
338  core   0: 0x00000838 (0x5b000613) li      a2, 1456
339  core   0: 0x0000083c (0x00c6a023) sw      a2, 0(a3)
340  core   0: 0x00000840 (0x02078693) addi    a3, a5, 32
341  core   0: 0x00000844 (0x00269693) slli    a3, a3, 2
342  core   0: 0x00000848 (0x00d70733) add     a4, a4, a3
343  core   0: 0x0000084c (0x00c72023) sw      a2, 0(a4)
344  core   0: 0x00000850 (0x00178793) addi    a5, a5, 1
345  core   0: 0x00000854 (0xfcb79ce3) bne     a5, a1, pc - 40
346  core   0: 0x0000082c (0x00050713) mv      a4, a0
347  core   0: 0x00000830 (0x00279693) slli    a3, a5, 2
348  core   0: 0x00000834 (0x00d706b3) add     a3, a4, a3
349  core   0: 0x00000838 (0x5b000613) li      a2, 1456
